Time of publish ID,"Warning, incomplete?",Venue,Name,Bib,Authors,year,NLP,Small Models,Debating,Recycling,Scaling Laws,Human-Model Interaction,Efficient Pretraining Research,Resources,The Science of Deep Learning,Methods,Dataset,Training,Evaluation,Shared-task\effort,Language&Cognition,Open,Meta-science,Enabling Low Budget Research,Efficiency,Paper,Workshop-paper,"Review, Survey and Position",Other,inter\eval,open,Allowing,Efficient Evaluation
,,TMLR ,A Survey on Model MoErging: Recycling and Routing Among Specialized Experts for Collaborative Learning,yadav2024survey," Prateek Yadav, Colin Raffel, Mohammed Muqeeth, Lucas Caccia, Haokun Liu, Tianlong Chen, Mohit Bansal, Leshem Choshen, Alessandro Sordoni",2024,1,,,1,,,,,,,,,,,,1,1,1,1,1,,1,,,,,
,,TACL,Elements of World Knowledge (EWOK): A cognition-inspired framework for evaluating basic world knowledge in language models,DBLP:journals/corr/abs-2405-09605,"inspired framework for evaluating basic world knowledge in language models” 5th from end, numerous authors.",2024,1,,,,,,,1,,,1,,1,,1,,,1,1,1,,,,,,,
,,Neurips,Efficient multi-prompt evaluation of LLMs,poloefficient,"Felipe Maia Polo, Ronald Xu, Lucas Weber, Mírian Silva, Onkar Bhardwaj, Leshem Choshen, Allysson Flavio Melo de Oliveira, Yuekai Sun, Mikhail Yurochkin",2024,1,,,,,,,1,,1,,,1,,,,,1,1,1,,,,,,,
,,EMNLP,NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,schwartz2024numerologic," Eli Schwartz, Leshem Choshen, Joseph Shtok, Sivan Doveh, Leonid Karlinsky, Assaf Arbelle",2024,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,
,,ARR (under review) ,Lossless and Near Lossless Compression for Foundation Models,DBLP:journals/corr/abs-2404-15198,"Moshik Hershcovitch, Leshem Choshen, Andrew Wood, Ilias Enmouri, Peter Chin, Swaminathan Sundararaman, Danny Harnik",2024,1,,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,
,,NAACL2025,Beneath the Surface of Consistency: Exploring Cross-lingual Knowledge Representation Sharing in LLMs”,ifergan2024beneath," M Ifergan, L Choshen, R Aharoni, I Szpektor, O Abend",2024,1,,,,,,,,1,,1,,,,,,,,,1,,,,,,,
,,ACL,The ShareLM Collection and Plugin: Contributing Human-Model Chats for the Benefit of the Community,don-yehiya-etal-2025-sharelm," Shachar Don-Yehiya, Leshem Choshen, Omri Abend",2024,1,,,,,1,,1,,,1,,,1,1,1,1,1,1,1,,,,,,,
,,ARR (under review) ,"Naturally occurring feedback is common, extractable and useful",DBLP:journals/corr/abs-2407-10944," Shachar DonYehiya, Leshem Choshen, Omri Abend",2024,1,,,,,,,1,,1,1,,,,1,1,,,1,1,,,,,,,
,,ArXiv,Benchmark Agreement Testing Done Right: A Guide for LLM Benchmark Evaluation,DBLP:journals/corr/abs-2407-13696," Yotam Perlitz, Ariel Gera, Ofir Arviv, Asaf Yehudai, Elron Bandel, Eyal Shnarch, Michal ShmueliScheuer, Leshem Choshen",2024,1,,,,,,,1,,,,,1,,,1,1,,,1,,,,,,,
,,ICML,Compress then Serve: Serving Thousands of LoRA Adapters with Little Overhead,gabrielsson2025compress," Rickard BrüelGabrielsson, Jiacheng Zhu, Onkar Bhardwaj, Leshem Choshen, Kristjan Greenewald, Mikhail Yurochkin, Justin Solomon",2024,1,,,,,,,1,1,1,1,,,,,,,,1,1,,,,,,,
