Title,Cited by,Year,Authors,Venue,Scholar ID
Unforgettable generalization in language models,6,2024,"E Zhang, L Chosen, J Andreas","arXiv preprint arXiv:2409.02228, 2024",8b8IhUYAAAAJ:zA6iFVUQeVQC
ErrorMap and ErrorAtlas: Charting the failure landscape of large language models,4,2026,"S Ashury-Tahan, Y Mai, E Bandel, M Shmueli-Scheuer, L Choshen","arXiv preprint arXiv:2601.15812, 2026",8b8IhUYAAAAJ:sSrBHYA8nusC
CommonLID: Re-evaluating State-of-the-Art Language Identification Performance on Web Data,3,2026,"PO Suarez, L Burchell, C Arnett, R Mosquera, SH Monsalve, T Vaughan, ...","Proceedings of the 64th Annual Meeting of the Association for Computational …, 2026",8b8IhUYAAAAJ:8AbLer7MMksC
Will it merge? on the causes of model mergeability,3,2026,"A Rahamim, A Yehudai, B Carmeli, L Choshen, Y Mass, Y Belinkov","Findings of the Association for Computational Linguistics: ACL 2026, 26551-26570, 2026",8b8IhUYAAAAJ:B3FOqHPlNUQC
Every Eval Ever: A Unifying Schema and Community Repository for AI Evaluation Results,3,2026,"J Batzner, SH Nelaturu, D Stachura, A Kornilova, J Crall, T Cerruti, Y Long, ...","arXiv preprint arXiv:2606.14516, 2026",8b8IhUYAAAAJ:4MWp96NkSFoC
Growing Pains: Extensible and Efficient LLM Benchmarking Via Fixed Parameter Calibration,2,2026,"E Habba, I Itzhak, A Yehudai, Y Perlitz, E Bandel, M Shmueli-Scheuer, ...","arXiv preprint arXiv:2604.12843, 2026",8b8IhUYAAAAJ:HE397vMXCloC
BabyLM Turns 4 and Goes Multilingual: Call for Papers for the 2026 BabyLM Workshop,2,2026,"L Choshen, R Cotterell, MO Gul, J Jumelet, T Linzen, A Mueller, S Salhan, ...","arXiv preprint arXiv:2602.20092, 2026",8b8IhUYAAAAJ:bnK-pcrLprsC
Inter-training of pre-trained transformer-based language models using partitioning and classification,2,2024,"E Shnarch, G Ariel, A Halfon, L Dankin, L CHOSHEN, R Aharonov, ...","US Patent 12,093,645, 2024",8b8IhUYAAAAJ:b0M2c_1WBrUC
On neurons invariant to sentence structural changes in neural machine translation,2,2022,"G Patel, L Choshen, O Abend","Proceedings of the 26th Conference on Computational Natural Language …, 2022",8b8IhUYAAAAJ:M3ejUd6NZC8C
LLM Hypnosis: Characterizing the Fragility of RLHF Against Unprivileged Knowledge Injection,2,,"A Hilel, R Bhagwat, L Choshen, I Shenfeld, J Andreas",,8b8IhUYAAAAJ:q3oQSFYPqjQC
Automated Discovery Has No Universally Superior Harness,1,2026,"A Gupta, J Lei, A Lu, G Anumanchipalli, L Choshen","arXiv preprint arXiv:2607.18235, 2026",8b8IhUYAAAAJ:TIZ-Mc8IlK0C
Evaluation Cards: An Interpretive Layer for AI Evaluation Reporting,1,2026,"A Ghosh, A Reuel, J Chim, WM Kennedy, S Yadav, J Mickel, Y Long, ...","arXiv preprint arXiv:2606.09809, 2026",8b8IhUYAAAAJ:ML0RJ9NH7IQC
MINDGAMES: A Live Arena for Evaluating Social and Strategic Reasoning in Multi-Agent LLMs,1,2026,"K Wang, A Thöni, B Kempinski, B Cheng, J Yao, B Finch, L Guertler, ...","arXiv preprint arXiv:2605.29512, 2026",8b8IhUYAAAAJ:Z5m8FVwuT1cC
Robustness as an Emergent Property of Task Performance,1,2026,"S Ashury-Tahan, A Gera, E Bandel, M Shmueli-Scheuer, L Choshen","arXiv preprint arXiv:2602.03344, 2026",8b8IhUYAAAAJ:5Ul4iDaHHb8C
A Latent Variable Framework for Scaling Laws in Large Language Models,1,2025,"P Cai, C Cui, FM Polo, S Somerstep, L Choshen, M Yurochkin, Y Sun, ...","arXiv preprint arXiv:2512.06553, 2025",8b8IhUYAAAAJ:4fKUyHm3Qg0C
Global PIQA: Evaluating Commonsense Reasoning Across 100+ Languages and Cultures,1,2025,"TA Chang, C Arnett, A Sadallah, A Eldesokey, A Kashar, A Daud, ...","arXiv preprint arXiv:2510.24081, 2025",8b8IhUYAAAAJ:kuK5TVdYjLIC
A Statistical Framework for Game-Based AI Evaluation,1,2025,"FM Polo, L Choshen, Y Sun, K Greenewald","NeurIPS 2025 Workshop on Evaluating the Evolving LLM Lifecycle: Benchmarks …, 2025",8b8IhUYAAAAJ:geHnlv5EZngC
How Safe is Your Safety Metric? Automatic Concatenation Tests for Metric Reliability,1,2024,"ON Fandina, L Choshen, E Farchi, G Kour, Y Perlitz, O Raz","arXiv preprint arXiv:2408.12259, 2024",8b8IhUYAAAAJ:UxriW0iASnsC
Part of speech and universal dependency effects on english arabic machine translation,1,2021,"O Rafaeli, O Abend, L Choshen, D Nikolaev","arXiv preprint arXiv:2106.00745, 2021",8b8IhUYAAAAJ:ULOm3_A8WrAC
Proceedings of the Workshop on Evaluating Evaluations (EvalEval),,2026,"M Akhtar, J Batzner, L Choshen, A Ghosh, U Gohar, J Mickel, I Pant, ...","Proceedings of the Workshop on Evaluating Evaluations (EvalEval), 2026",8b8IhUYAAAAJ:vbGhcppDl1QC
Mediocrity is the key for LLM as a Judge Anchor Selection,,2026,"S Don-Yehiya, A Yehudai, L Choshen, O Abend","Proceedings of the 64th Annual Meeting of the Association for Computational …, 2026",8b8IhUYAAAAJ:XiVPGOgt02cC
Stop Guessing When to Stop Testing: Efficient Model Evaluation with Just Enough Data,,2026,"O Arviv, K Greenewald, Y Perlitz, H Mulian, M Shmueli-Scheuer, ...","Findings of the Association for Computational Linguistics: ACL 2026, 871-881, 2026",8b8IhUYAAAAJ:vRqMK49ujn8C
Cross-Lingual Exploration for Parametric Knowledge,,2026,"E Diskind, I Trainin, U Shaham, L Choshen, I Szpektor, O Abend","arXiv preprint arXiv:2606.24579, 2026",8b8IhUYAAAAJ:BwyfMAYsbu0C
"Instructions Shape Production of Language, not Processing",,2026,"A Waldis, L Choshen, Y Hou, Y Perlitz","arXiv preprint arXiv:2605.11206, 2026",8b8IhUYAAAAJ:eMMeJKvmdy0C
Resolving Interference (RI): Disentangling Models for Improved Model Merging,,2026,"P Ramesh, G Stoica, A Iyer, L Choshen, J Hoffman","arXiv preprint arXiv:2603.13467, 2026",8b8IhUYAAAAJ:eJXPG6dFmWUC
CRISP: Complex Reasoning with Interpretable Step-based Plans,,2025,"M Vetzler, K Lazar, G Uziel, E Hirsch, A Anaby-Tavor, L Choshen","arXiv preprint arXiv:2507.08037, 2025",8b8IhUYAAAAJ:OU6Ihb5iCvQC
Can Gradient Descent Simulate Prompting?,,2025,"E Zhang, L Choshen, J Andreas","arXiv preprint arXiv:2506.20989, 2025",8b8IhUYAAAAJ:KxtntwgDAa4C
Automated training on massive multitask,,2025,"L CHOSHEN, E Venezian, SB Don-Yehiya","US Patent App. 18/454,124, 2025",8b8IhUYAAAAJ:NhqRSupF_l8C
Base model selection for finetuning,,2025,"L CHOSHEN, E Venezian, SB Don-Yehiya, YA Katz, N Slonim","US Patent App. 18/350,269, 2025",8b8IhUYAAAAJ:bFI3QPDXJZMC
MuLER: Detailed and Scalable Reference-based Evaluation,,2023,"T Karidi, L Choshen, G Patel, O Abend","Proceedings of the 27th Conference on Computational Natural Language …, 2023",8b8IhUYAAAAJ:TQgYirikUcIC
"Some Grammatical Errors are Frequent, Others are Important",,2022,"L Choshen, O Shifman, O Abend","arXiv preprint arXiv:2205.05730, 2022",8b8IhUYAAAAJ:Wp0gIr-vW9MC
True or false? faithful summarization with attribution,,2022,"O Honovich, T Scialom, L Choshen, E Shnarch, O Abend","Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",8b8IhUYAAAAJ:uc_IGeMz5qoC
The Mighty ToRR: A Benchmark for Table Reasoning and Robustness in LLMs,,,"A Yehudai, E Bandel, L Choshen, E Shnarch, P Liang, ...",,8b8IhUYAAAAJ:b1wdh0AR-JQC
